id,latitude,longitude,neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms_clean,price,price_per_person,minimum_nights,availability_365,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,number_of_reviews,reviews_per_month,review_scores_rating
178515,38.71133,-9.13093,Santa Maria Maior,Entire home/apt,6,3.0,3.0,2.0,78.0,13.0,3,217,0.0,1.0,1.0,1,284,2.15,4.57
178524,38.70916,-9.13222,Santa Maria Maior,Entire home/apt,6,3.0,3.0,3.0,78.0,13.0,4,242,0.0,1.0,1.0,1,397,2.36,4.66
179273,38.7469167,-9.2789757,Barcarena,Private room,1,1.0,1.0,1.0,28.0,28.0,1,248,0.0,1.0,1.0,0,20,0.87,4.45
184888,38.76861,-9.09669,Parque das Naes,Entire home/apt,4,2.0,4.0,2.5,198.0,49.5,3,308,0.0,1.0,1.0,0,15,0.12,4.6
186996,38.71677,-9.13359,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.0,69.0,34.5,4,69,0.0,1.0,1.0,0,136,1.24,4.55
187442,38.71095,-9.13192,Santa Maria Maior,Entire home/apt,4,2.0,2.0,1.0,182.0,45.5,2,356,1.0,1.0,1.0,1,647,3.89,4.86
189676,38.70997,-9.14864,Misericrdia,Entire home/apt,2,0.0,1.0,1.0,115.0,57.5,28,182,0.0,1.0,1.0,0,233,1.42,4.98
193321,38.71971,-9.14339,Santo Antnio,Private room,1,1.0,1.0,1.0,36.0,36.0,10,210,1.0,1.0,1.0,0,28,0.17,4.63
199461,38.71095,-9.13673,Santa Maria Maior,Entire home/apt,4,2.0,3.0,2.0,199.0,49.75,1,210,1.0,1.0,1.0,1,249,1.52,4.93
208683,38.71052,-9.13365,Santa Maria Maior,Entire home/apt,4,2.0,2.0,2.0,53.0,13.25,3,4,0.0,1.0,1.0,1,124,0.86,4.68
211616,38.71315,-9.12715,Santa Maria Maior,Entire home/apt,2,1.0,1.0,1.5,92.0,46.0,3,105,0.0,1.0,1.0,0,315,2.01,4.83
214729,38.74825,-9.1459,Alvalade,Private room,1,1.0,1.0,1.0,30.0,30.0,15,214,1.0,1.0,1.0,0,44,0.35,4.86
217281,38.74877,-9.1478,Alvalade,Private room,1,1.0,1.0,1.0,22.0,22.0,15,181,1.0,1.0,1.0,0,25,0.45,4.96
220359,38.73513,-9.14904,Avenidas Novas,Entire home/apt,4,1.0,1.0,1.0,95.0,23.75,1,267,1.0,1.0,1.0,0,186,1.15,4.52
220830,38.8917,-9.31176,Igreja Nova e Cheleiros,Entire home/apt,2,2.0,2.0,1.0,65.0,32.5,2,339,1.0,0.0,1.0,0,60,0.39,4.6
220831,38.89195,-9.31181,Igreja Nova e Cheleiros,Entire home/apt,6,3.0,7.0,2.0,170.0,28.333333333333332,2,69,1.0,0.0,1.0,0,13,0.11,4.15
227224,38.71102,-9.12995,Santa Maria Maior,Entire home/apt,2,1.0,3.0,1.0,84.0,42.0,1,182,0.0,1.0,1.0,0,541,3.53,4.7
229846,38.71478,-9.1241,So Vicente,Entire home/apt,3,1.0,1.0,1.0,66.0,22.0,3,307,0.0,1.0,1.0,0,224,1.4,4.43
